Наименование;Цена;Размеры;Ссылка;Описание;Фото
последние экземпляры;;;;;
Модель РБ-00110;900 р. ;52, 52, 52, 52, 54, 56,  58, 60, 60, 62, 62, 64;http://krassa-nsk.ru/bluzki-rubashki-bolshih-razmerov/zhenskaya-rubashka-мodel-rb-00110;Рубашка женская из крепового полотна, принт цветы на синем. По спинке таливые вытачки, Перед обработан застежкой на петли и пуговицы. Воротник отложной на стойке. Рукав заканчивается манжетом с застежкой на петлю и пуговицу. Длина рукава 64см, длина изделия 78 см.;
Модель Р-0058;850 р.;52, 54,54,  56, 56 ,56,  62, 66;http://krassa-nsk.ru/index.php?route=product/product&path=65&product_id=144;Рубашка женская из стрейчевого крепового полотна. По спинке таливые вытачки. Перед застегивается на петли и пуговицы. Воротник отложной на стойке. Рукав втачной три четверти, застегивается на манжет на петлю и пуговицу. Длина рукава 45 см., длина изделия 78 см.;
МОДЕЛЬ П-0071;950 р.;52;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0071;"Женское платье свободного силуэта из натуральной хлопковой ткани. Расцветка: принт ""огурчики"". Юбка трапеция с легкой сборочкой по талии. Для лучшей посадки по линии талии вставлена резина. Платье с поясом. Вырез горловины овальный. По вырезу сделана романтичная капля, которая заканчивается брошкой из страз. Рукав короткий. Длина рукава 28см., длина изделия по спинке 113 см.";
МодельП-0070;950 р.; 52, 66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0070;Женское платье свободного силуэта из натуральной хлопковой ткани. Расцветка: белый орнамент на синем. Юбка трапеция с легкой сборочкой по талии. Для лучшей посадки по линии талии вставлена резина. Платье с поясом. Вырез горловины овальный. По вырезу сделана романтичная капля, которая заканчивается брошкой из страз. Рукав короткий. Длина рукава 28см., длина изделия по спинке 113 см.;
МОДЕЛЬ П-0067;1 150 р.;58, 60;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0067;Офисное платье из тонкой джинсовой ткани, хлопок с эластаном. Платье полуприлегающего силуэта, с поясом. Рукав короткий, реглан. По переду застежка на петли и пуговицы. По горловине отложной воротник на стойке, в боковых швах карманы. По спинке в среднем шве шлица, в боковых швах карманы. Длина рукава с плечом 38 см. Длина изделия по спинке: размер 50,52,54,56 - 103см., размер 58,60 - 105см., размер 62,64 - 107см.;
МОДЕЛЬ П-0079;1 000 р.; 52, 56, 64, 64;http://krassa-nsk.ru/index.php?route=product/product&path=63&product_id=152;Платье полуприлегающего силуэта с поясом. Принт орхидеи на нежной бирюзе. По переду платье отрезное по линии талии с заложенными мягкими складочками. Сзади по среднему шву разрез. Платье с цельнокроенным рукавом кимоно. Для лучшего прилегания к платью сделан пояс. Платье подходит как для праздничного выхода,так и для офиса. Длина рукава с плечом 39 см. Длина изделия по спинке: размер 52,54 - 102см., размер 56,58,60,62 - 105см., размер 64,66 - 107см. ;
МОДЕЛЬ П-0073;1 100 р.;62, 64, 66;http://krassa-nsk.ru/index.php?route=product/product&path=63&product_id=150;Платье из крепового набивного полотна, принт тюльпаны. Платье отрезное по линии талии с трапециевидной юбкой. Для лучшего прилегания и посадки на фигуре, на лифе отрезные бочки по переду и спинке. Рукав втачной до локтя. Украшение не входит в стоимость изделия. Платье подвязывается поясом, что подчеркивает линию талии. Платье подходит как для праздничного выхода, так и для офиса. Длина рукава 23 см., длина изделия по спинке 117 см.;
Модель Б-0092;850 р.;56;http://krassa-nsk.ru/index.php?route=product/product&path=65&product_id=169;Рубашка женская из хлопковой ткани. По спинке таливые вытачки. Перед застегивается на петли и пуговицы. Воротник отложной на стойке. Рукав до локтя, собранный на пате. Длина рукава 28см. Длина рубашки по спинке 80 см. ;
МОДЕЛЬ П-0084        ;1 250 р. ;52, 56, 62, 62;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0084;Платье трапециевидного силуэта из тонкой джинсы. По низу платья вышивка из шелковых нитей. Вырез горловины V-образный. В боковых швах карманы. Рукав короткий, сложной конфигурации. С заходом передней половинки на заднюю, что дает свободу движения. Брошь не входит в стоимость изделия. Длина рукава в коротком месте 18см., длина изделия 103 см.;
МОДЕЛЬ П-0075;1 000 р.;52, 52, 56, 56, 56, 60, 60, 60, 62;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0075;Женское платье из тонкого крепа с эластаном цвета красные цветы на синем. Платье свободного силуэта, юбка на подкладе. По талии проложена резина для лучшего прилегания и посадки. Платье с поясом. Юбка расклешенная, трапеция. Вырез горловины овальный. По переду горловины встречная складочка. рукав короткий. Длина рукава 17 см. Длина изделия по спинке 119 см.;
Модель П-0074;1000 р.;52, 56, 56, 56, 58, 62, 62;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0074;Женское платье из тонкого крепа с эластаном цвета бирюзовые цветы на синем. Платье свободного силуэта, юбка на подкладе. По талии проложена резина для лучшего прилегания и посадки. Платье с поясом. Юбка расклешенная, трапеция. Вырез горловины овальный. По переду горловины встречная складочка. рукав короткий. Длина рукава 17 см. Длина изделия по спинке 119 см.;
МОДЕЛЬ П-0080;1 000 р.;66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0080;Платье из тонкого крепового набивного полотна с вискозой. Силуэт платья полуприлегающий. Платье обрезное по линии талии. Для лучшей посадки по талии вставлена тонкая резина, что позволяет платью правильно сидеть на фигуре. Платье с поясом. Сзади по среднему шву разрез, рукав короткий реглан. По вырезу горловины спереди заложены мягкие складочки. Для более комфортной носки изделия, юбка платья на подкладе. Длина рукава с плечом 27 см. Длина изделия 113 см.;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
